"SP","N","S","storeClosing","nClosed"
"1988:03:29",-64,137,0,0
"1988:04:08",-61,135,0,0
"1988:04:18",-66,106,0,0
"1988:04:28",-73,109,0,0
"1988:05:08",-77,121,1,2
"1988:05:18",-87,111,0,0
"1988:05:28",-105,92,0,0
"1988:06:07",-111,81,0,0
"1988:06:17",-122,84,0,0
"1988:06:27",-109,76,1,1
"1988:07:07",-104,50,1,1
"1988:07:17",-100,44,0,0
"1988:07:27",-104,44,0,0
"1988:08:06",-119,39,0,0
"1988:08:16",-112,25,0,0
"1988:08:26",-116,16,0,0
"1988:09:05",-115,28,0,0
"1988:09:15",-119,34,0,0
"1988:09:25",-112,43,0,0
"1988:10:05",-108,38,0,0
"1988:10:15",-101,53,0,0
"1988:10:25",-102,58,0,0
"1988:11:04",-99,57,0,0
"1988:11:14",-92,54,0,0
"1988:11:24",-65,67,0,0
"1988:12:04",-63,62,0,0
"1988:12:14",-58,62,0,0
"1988:12:24",-16,68,0,0
"1989:01:03",3,72,0,0
"1989:01:13",26,78,1,1
"1989:01:23",6,94,0,0
"1989:02:02",12,105,0,0
"1989:02:12",-2,99,0,0
"1989:02:22",-22,91,0,0
"1989:03:04",-17,94,1,1
"1989:03:14",-2,100,1,1
"1989:03:24",19,88,1,1
"1989:04:03",31,97,1,1
"1989:04:13",33,99,0,0
"1989:04:23",35,98,0,0
"1989:05:03",7,80,0,0
"1989:05:13",-6,69,0,0
"1989:05:23",-34,72,0,0
"1989:06:02",-46,36,0,0
"1989:06:12",-39,23,0,0
"1989:06:22",-40,27,0,0
"1989:07:02",-42,29,0,0
"1989:07:12",-66,23,1,1
"1989:07:22",-71,20,0,0
"1989:08:01",-74,10,0,0
"1989:08:11",-66,3,0,0
"1989:08:21",-68,-12,0,0
"1989:08:31",-86,-14,0,0
"1989:09:10",-79,-18,0,0
"1989:09:20",-66,-24,0,0
"1989:09:30",-39,-14,0,0
"1989:10:10",-42,-6,0,0
"1989:10:20",-20,-3,0,0
"1989:10:30",-27,-5,0,0
"1989:11:09",-31,-18,0,0
"1989:11:19",-43,-15,0,0
"1989:11:29",-25,-10,0,0
"1989:12:09",-7,13,0,0
"1989:12:19",12,3,1,1
"1989:12:29",32,4,0,0
"1990:01:08",42,6,0,0
"1990:01:18",5,5,1,1
"1990:01:28",41,25,1,1
"1990:02:07",57,29,1,1
"1990:02:17",71,34,0,0
"1990:02:27",78,24,0,0
"1990:03:09",14,20,0,0
"1990:03:19",-12,7,1,1
"1990:03:29",1,9,1,1
"1990:04:08",17,10,0,0
"1990:04:18",22,15,0,0
"1990:04:28",33,18,1,1
"1990:05:08",36,23,0,0
"1990:05:18",45,27,0,0
"1990:05:28",20,22,0,0
"1990:06:07",21,24,0,0
"1990:06:17",38,16,0,0
"1990:06:27",19,0,0,0
"1990:07:07",11,-21,1,1
"1990:07:17",4,-12,0,0
"1990:07:27",19,-17,1,1
"1990:08:06",14,3,0,0
"1990:08:16",19,14,0,0
"1990:08:26",24,23,0,0
"1990:09:05",29,13,1,1
"1990:09:15",22,0,0,0
"1990:09:25",22,-7,1,1
"1990:10:05",40,19,0,0
"1990:10:15",40,11,0,0
"1990:10:25",52,11,1,1
"1990:11:04",48,-4,0,0
"1990:11:14",57,-6,0,0
"1990:11:24",46,-13,0,0
"1990:12:04",47,4,0,0
"1990:12:14",51,14,0,0
"1990:12:24",46,22,0,0
"1991:01:03",51,28,0,0
"1991:01:13",48,43,0,0
"1991:01:23",43,43,0,0
"1991:02:02",43,24,0,0
"1991:02:12",39,31,0,0
"1991:02:22",47,39,0,0
"1991:03:04",48,42,0,0
"1991:03:14",52,32,1,1
"1991:03:24",35,15,0,0
"1991:04:03",33,8,0,0
"1991:04:13",32,8,0,0
"1991:04:23",35,12,0,0
"1991:05:03",31,13,0,0
"1991:05:13",45,6,0,0
"1991:05:23",50,2,0,0
"1991:06:02",52,-3,0,0
"1991:06:12",57,-10,0,0
"1991:06:22",63,-22,0,0
"1991:07:02",74,-24,1,1
"1991:07:12",73,-38,0,0
"1991:07:22",75,-44,0,0
"1991:08:01",70,-57,0,0
"1991:08:11",77,-57,0,0
"1991:08:21",72,-53,0,0
"1991:08:31",76,-70,0,0
"1991:09:10",72,-81,0,0
"1991:09:20",66,-82,0,0
"1991:09:30",69,-88,1,1
"1991:10:10",74,-85,0,0
"1991:10:20",82,-84,1,1
"1991:10:30",86,-84,0,0
"1991:11:09",82,-80,0,0
"1991:11:19",81,-80,0,0
"1991:11:29",96,-66,0,0
"1991:12:09",98,-70,0,0
"1991:12:19",112,-82,0,0
"1991:12:29",102,-69,1,1
"1992:01:08",100,-72,0,0
"1992:01:18",102,-67,0,0
"1992:01:28",82,-71,0,0
"1992:02:07",70,-63,0,0
"1992:02:17",66,-90,1,1
"1992:02:27",67,-87,1,1
"1992:03:08",78,-82,1,1
"1992:03:18",92,-75,0,0
"1992:03:28",92,-74,0,0
"1992:04:07",86,-77,0,0
"1992:04:17",83,-77,0,0
"1992:04:27",76,-83,1,1
"1992:05:07",85,-93,0,0
"1992:05:17",92,-91,0,0
"1992:05:27",101,-99,1,1
"1992:06:06",101,-94,1,1
"1992:06:16",99,-95,0,0
"1992:06:26",108,-87,0,0
"1992:07:06",108,-74,0,0
"1992:07:16",111,-94,1,1
"1992:07:26",109,-103,1,1
"1992:08:05",107,-115,1,1
"1992:08:15",98,-116,0,0
"1992:08:25",101,-107,0,0
"1992:09:04",116,-108,0,0
"1992:09:14",125,-112,0,0
"1992:09:24",126,-116,0,0
"1992:10:04",119,-123,0,0
"1992:10:14",114,-121,0,0
"1992:10:24",105,-121,0,0
"1992:11:03",102,-112,1,1
"1992:11:13",96,-115,1,1
"1992:11:23",94,-117,0,0
"1992:12:03",87,-127,0,0
"1992:12:13",71,-135,1,1
"1992:12:23",61,-147,1,1
"1993:01:02",51,-149,1,1
"1993:01:12",47,-144,0,0
"1993:01:22",56,-142,0,0
"1993:02:01",54,-145,0,0
"1993:02:11",61,-153,0,0
"1993:02:21",49,-167,0,0
"1993:03:03",44,-149,0,0
"1993:03:13",44,-155,0,0
"1993:03:23",49,-154,1,1
"1993:04:02",51,-153,0,0
"1993:04:12",48,-151,1,1
"1993:04:22",50,-145,0,0
"1993:05:02",63,-148,0,0
"1993:05:12",72,-143,0,0
"1993:05:22",75,-126,0,0
"1993:06:01",80,-122,0,0
"1993:06:11",84,-106,0,0
"1993:06:21",91,-117,1,1
"1993:07:01",92,-112,0,0
"1993:07:11",108,-110,0,0
"1993:07:21",100,-97,0,0
"1993:07:31",98,-99,0,0
"1993:08:10",99,-99,0,0
"1993:08:20",102,-93,0,0
"1993:08:30",102,-89,0,0
"1993:09:09",103,-81,0,0
"1993:09:19",107,-86,0,0
"1993:09:29",109,-83,0,0
"1993:10:09",101,-92,0,0
"1993:10:19",89,-90,0,0
"1993:10:29",86,-89,1,1
"1993:11:08",83,-90,0,0
"1993:11:18",75,-94,0,0
"1993:11:28",68,-96,0,0
"1993:12:08",66,-114,0,0
"1993:12:18",58,-117,0,0
"1993:12:28",60,-132,0,0
"1994:01:07",66,-165,0,0
"1994:01:17",66,-163,1,1
"1994:01:27",61,-160,1,1
"1994:02:06",55,-156,0,0
"1994:02:16",52,-160,0,0
"1994:02:26",54,-157,0,0
"1994:03:08",52,-157,1,1
"1994:03:18",52,-159,0,0
"1994:03:28",53,-161,0,0
"1994:04:07",63,-172,0,0
"1994:04:17",72,-171,0,0
"1994:04:27",75,-174,0,0
"1994:05:07",82,-154,0,0
"1994:05:17",81,-150,0,0
"1994:05:27",74,-135,0,0
"1994:06:06",80,-131,0,0
"1994:06:16",83,-121,0,0
"1994:06:26",100,-117,0,0
"1994:07:06",92,-90,0,0
"1994:07:16",99,-85,1,1
"1994:07:26",99,-86,0,0
"1994:08:05",107,-97,0,0
"1994:08:15",100,-84,0,0
"1994:08:25",117,-101,0,0
"1994:09:04",123,-86,1,1
"1994:09:14",122,-82,0,0
"1994:09:24",117,-78,1,1
"1994:10:04",106,-80,0,0
"1994:10:14",100,-87,0,0
"1994:10:24",99,-84,0,0
"1994:11:03",101,-91,0,0
"1994:11:13",98,-100,0,0
"1994:11:23",96,-108,0,0
"1994:12:03",91,-115,1,1
"1994:12:13",86,-124,0,0
"1994:12:23",68,-120,0,0
"1995:01:02",70,-132,0,0
"1995:01:12",69,-124,1,1
"1995:01:22",75,-164,0,0
"1995:02:01",54,-164,0,0
"1995:02:11",55,-157,0,0
"1995:02:21",49,-149,0,0
"1995:03:03",57,-138,1,1
"1995:03:13",60,-154,0,0
"1995:03:23",65,-172,0,0
"1995:04:02",73,-156,0,0
"1995:04:12",75,-134,0,0
"1995:04:22",80,-134,0,0
"1995:05:02",79,-138,0,0
"1995:05:12",89,-126,0,0
"1995:05:22",91,-121,0,0
"1995:06:01",97,-110,1,1
"1995:06:11",108,-114,0,0
"1995:06:21",118,-108,1,1
"1995:07:01",126,-101,0,0
"1995:07:11",126,-80,0,0
"1995:07:21",118,-70,0,0
"1995:07:31",114,-71,0,0
"1995:08:10",106,-75,0,0
"1995:08:20",108,-70,0,0
"1995:08:30",125,-71,0,0
"1995:09:09",122,-70,0,0
"1995:09:19",126,-72,0,0
"1995:09:29",113,-75,0,0
"1995:10:09",113,-75,0,0
"1995:10:19",112,-80,0,0
"1995:10:29",111,-75,0,0
"1995:11:08",111,-78,0,0
"1995:11:18",105,-87,0,0
"1995:11:28",98,-93,1,1
"1995:12:08",88,-96,0,0
"1995:12:18",49,-41,0,0
"1995:12:28",56,-139,0,0
"1996:01:07",95,-148,0,0
"1996:01:17",97,-125,0,0
"1996:01:27",108,-109,0,0
"1996:02:06",83,-95,0,0
"1996:02:16",63,-108,0,0
"1996:02:26",56,-120,0,0
"1996:03:07",72,-123,0,0
"1996:03:17",75,-133,0,0
"1996:03:27",73,-129,1,1
"1996:04:06",74,-130,0,0
"1996:04:16",108,-106,0,0
"1996:04:26",106,-103,1,1
"1996:05:06",105,-102,0,0
"1996:05:16",89,-99,0,0
"1996:05:26",95,-82,0,0
"1996:06:05",103,-80,0,0
"1996:06:15",112,-76,0,0
"1996:06:25",114,-81,0,0
"1996:07:05",111,-73,0,0
"1996:07:15",108,-67,1,1
"1996:07:25",119,-60,1,1
"1996:08:04",121,-60,0,0
"1996:08:14",123,-60,1,1
"1996:08:24",114,-57,0,0
"1996:09:03",124,-48,0,0
"1996:09:13",117,-51,0,0
"1996:09:23",119,-52,0,0
"1996:10:03",114,-64,0,0
"1996:10:13",135,-65,0,0
"1996:10:23",137,-68,1,1
"1996:11:02",134,-59,0,0
"1996:11:12",118,-62,0,0
"1996:11:22",114,-60,1,1
"1996:12:02",103,-77,0,0
"1996:12:12",84,-87,0,0
"1996:12:22",77,-92,0,0
"1997:01:01",74,-87,1,1
"1997:01:11",76,-84,0,0
"1997:01:21",63,-93,0,0
"1997:01:31",57,-103,0,0
"1997:02:10",61,-108,0,0
"1997:02:20",76,-114,0,0
"1997:03:02",78,-127,0,0
"1997:03:12",78,-136,0,0
"1997:03:22",73,-134,1,1
"1997:04:01",83,-122,0,0
"1997:04:11",83,-114,0,0
"1997:04:21",78,-108,0,0
"1997:05:01",84,-112,0,0
"1997:05:11",93,-106,0,0
"1997:05:21",105,-103,0,0
"1997:05:31",100,-90,0,0
"1997:06:10",110,-79,1,1
"1997:06:20",106,-71,0,0
"1997:06:30",105,-65,0,0
"1997:07:10",101,-54,0,0
"1997:07:20",115,-51,0,0
"1997:07:30",128,-44,0,0
"1997:08:09",119,-55,0,0
"1997:08:19",120,-53,0,0
"1997:08:29",125,-45,0,0
"1997:09:08",128,-47,0,0
"1997:09:18",120,-42,1,1
"1997:09:28",111,-42,0,0
"1997:10:08",117,-34,0,0
"1997:10:18",122,-27,0,0
"1997:10:28",112,-25,0,0
"1997:11:07",102,-17,0,0
"1997:11:17",89,-68,0,0
"1997:11:27",98,-77,0,0
"1997:12:07",103,-64,0,0
"1997:12:17",98,-50,0,0
"1997:12:27",92,-48,0,0
"1998:01:06",82,-69,0,0
"1998:01:16",63,-77,0,0
"1998:01:26",63,-77,0,0
"1998:02:05",63,-80,0,0
"1998:02:15",48,-91,0,0
"1998:02:25",50,-95,0,0
"1998:03:07",41,-81,0,0
"1998:03:17",49,-83,0,0
"1998:03:27",48,-67,1,1
"1998:04:06",54,-65,0,0
"1998:04:16",72,-60,1,1
"1998:04:26",74,-62,0,0
"1998:05:06",96,-83,0,0
"1998:05:16",101,-77,0,0
"1998:05:26",119,-72,0,0
"1998:06:05",102,-50,0,0
"1998:06:15",114,-43,0,0
"1998:06:25",101,-34,0,0
"1998:07:05",107,-19,0,0
"1998:07:15",108,-15,0,0
"1998:07:25",116,-21,0,0
"1998:08:04",116,-25,0,0
"1998:08:14",119,-36,0,0
"1998:08:24",120,-28,0,0
"1998:09:03",127,-22,0,0
"1998:09:13",126,-10,0,0
"1998:09:23",135,-4,0,0
"1998:10:03",126,-2,0,0
"1998:10:13",121,1,1,1
"1998:10:23",110,-3,0,0
"1998:11:02",95,-5,0,0
"1998:11:12",74,-1,0,0
